detector,augmentation,seed,time_bucket,auprc,recall_at_1pct_fpr,positives,rows
lightgbm,none,0,Q1 earliest,0.6464276511934905,0.7894736842105263,19,54494
lightgbm,none,0,Q2,0.9808304143568662,1.0,53,54493
lightgbm,none,0,Q3,0.8159510874273136,0.8536585365853658,82,54493
lightgbm,none,0,Q4 latest,0.9841216395360549,0.9846153846153847,195,54494
lightgbm,none,1,Q1 earliest,0.6515319942970486,0.7894736842105263,19,54494
lightgbm,none,1,Q2,0.9773228689908269,1.0,53,54493
lightgbm,none,1,Q3,0.8124298212523946,0.8658536585365854,82,54493
lightgbm,none,1,Q4 latest,0.9840721049537818,0.9897435897435898,195,54494
lightgbm,none,2,Q1 earliest,0.6623783056078353,0.8421052631578947,19,54494
lightgbm,none,2,Q2,0.9803369213755284,1.0,53,54493
lightgbm,none,2,Q3,0.8209258612594258,0.8780487804878049,82,54493
lightgbm,none,2,Q4 latest,0.9853325212573121,0.9897435897435898,195,54494
lightgbm,none,3,Q1 earliest,0.6548907465472547,0.8421052631578947,19,54494
lightgbm,none,3,Q2,0.9791392054016153,1.0,53,54493
lightgbm,none,3,Q3,0.8158030718502104,0.8780487804878049,82,54493
lightgbm,none,3,Q4 latest,0.9855722840685823,0.9897435897435898,195,54494
lightgbm,none,4,Q1 earliest,0.6509043528534147,0.8421052631578947,19,54494
lightgbm,none,4,Q2,0.9782539541055036,1.0,53,54493
lightgbm,none,4,Q3,0.818422326511474,0.8780487804878049,82,54493
lightgbm,none,4,Q4 latest,0.9855920354493135,0.9897435897435898,195,54494
lightgbm,none,5,Q1 earliest,0.66269594298183,0.7894736842105263,19,54494
lightgbm,none,5,Q2,0.9798937844172759,1.0,53,54493
lightgbm,none,5,Q3,0.8233504989290694,0.8902439024390244,82,54493
lightgbm,none,5,Q4 latest,0.985444390537238,0.9897435897435898,195,54494
lightgbm,none,6,Q1 earliest,0.6629799355444151,0.7894736842105263,19,54494
lightgbm,none,6,Q2,0.9800123479923701,1.0,53,54493
lightgbm,none,6,Q3,0.821171026270034,0.8780487804878049,82,54493
lightgbm,none,6,Q4 latest,0.9859540896898833,0.9897435897435898,195,54494
lightgbm,none,7,Q1 earliest,0.648709585591574,0.7894736842105263,19,54494
lightgbm,none,7,Q2,0.9782639789646956,1.0,53,54493
lightgbm,none,7,Q3,0.8118607282337997,0.8780487804878049,82,54493
lightgbm,none,7,Q4 latest,0.9851757081491026,0.9897435897435898,195,54494
lightgbm,none,8,Q1 earliest,0.6557129976987207,0.7894736842105263,19,54494
lightgbm,none,8,Q2,0.9772126324877224,1.0,53,54493
lightgbm,none,8,Q3,0.8177698943229871,0.8780487804878049,82,54493
lightgbm,none,8,Q4 latest,0.9853098667779996,0.9897435897435898,195,54494
lightgbm,none,9,Q1 earliest,0.6546209025182503,0.7894736842105263,19,54494
lightgbm,none,9,Q2,0.9792582314897578,1.0,53,54493
lightgbm,none,9,Q3,0.8185148853872244,0.8658536585365854,82,54493
lightgbm,none,9,Q4 latest,0.9859232472418893,0.9897435897435898,195,54494
lightgbm,plausible_hard_projected_v2,0,Q1 earliest,0.7522511351979037,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,0,Q2,0.9957978475778404,1.0,53,54493
lightgbm,plausible_hard_projected_v2,0,Q3,0.8552939740058058,0.8902439024390244,82,54493
lightgbm,plausible_hard_projected_v2,0,Q4 latest,0.9841457273417655,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,1,Q1 earliest,0.7513795700088379,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,1,Q2,0.9942557565754014,1.0,53,54493
