run_name,heldout_typology,detector,augmentation,auprc,auprc,auprc,auroc,auroc,auroc,recall_at_1pct_fpr,recall_at_1pct_fpr,recall_at_1pct_fpr,precision_at_k,precision_at_k,precision_at_k,ece,ece,ece
,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,curriculum_projected_v2,0.3873665251576296,0.0061201034681219275,5,0.9957791882060114,0.0011359445556675721,5,0.9291666666666663,0.040611643103370884,5,0.375,0.0,5,0.0001932848292506,1.5084060820758869e-05,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,hard_projected_v2,0.39031793071903065,0.0027654335208454127,5,0.9964102814474437,0.0006039247063756661,5,0.9958333333333332,0.009316949906249438,5,0.375,0.0,5,0.000311306593633,2.297440477900754e-05,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,none,0.6184252702574002,0.04056354727894125,5,0.9997804135554276,4.060862658797956e-05,5,1.0,0.0,5,0.375,0.0,5,0.0001734674659308,2.784400264168217e-06,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,plausible_hard_projected_v2,0.38625015893436937,0.0034617730121880162,5,0.995435688301742,0.0011613393036461414,5,0.8833333333333331,0.07878196000495415,5,0.375,0.0,5,0.0003079675372712,2.5449742906865403e-05,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,plausible_typology_projected_v2,0.3856733098256892,0.002196483126512286,5,0.9950039058012633,0.001568274802964315,5,0.8374999999999997,0.16757564626825183,5,0.375,0.0,5,0.0003113865928668,3.139441406077078e-05,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,random_feasible_v2,0.5925738644755139,0.021810174918409263,5,0.9997662454528043,1.86228769634374e-05,5,1.0,0.0,5,0.375,0.0,5,0.000183614786563,7.445947655652684e-06,5
cikm_v4_heldout_structuring_5seed,structuring,lightgbm,typology_projected_v2,0.3858806183242306,0.0023280519287479755,5,0.9960960367604821,0.0005118542548879175,5,0.9791666666666666,0.029462782549439518,5,0.375,0.0,5,0.00031579332370379996,3.3030422778685074e-05,5
cikm_v4_heldout_structuring_5seed,structuring,xgboost,curriculum_projected_v2,0.3859626242315156,0.006550672833668575,5,0.9965957495692127,0.0010743583295252125,5,0.9624999999999997,0.06144950501563609,5,0.375,0.0,5,0.0003356183398904,3.390696563285227e-05,5
cikm_v4_heldout_structuring_5seed,structuring,xgboost,hard_projected_v2,0.38735123387876824,0.006205759161904827,5,0.9964747080222092,0.0006819110587965029,5,0.9708333333333332,0.027950849718747436,5,0.375,0.0,5,0.0001802822186088,2.2896770188312648e-05,5
cikm_v4_heldout_structuring_5seed,structuring,xgboost,none,0.6247515247558288,0.028893805713515353,5,0.99983017422937,2.6886192272806888e-05,5,1.0,0.0,5,0.43333333333333324,0.04973890160963886,5,0.0001559624816138,7.722520630559272e-06,5
