augmentation,auprc,auroc,brier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,candidate_multiplier
ours,0.152572866553404,0.917986010133436,0.008014978021604,transxion,random_forest,0.044498526788314,0.214408655028276,,1.0,0.256116732579994,0.137756714060031,0.277161862527716,0.497782705099778,0.584257206208425,1.0,1,902,5920,1820462,169.50577855110168,0.214527524923405,0.926698092744918,0.007662009804,0.043477527539552,0.226339509263895,0.283938140843002,779,0.14059097978227,0.3196405648267,0.59563543003851,0.6829268292682921,full_matrix,
ours,0.135855711896461,0.908793499767461,0.008510775536504,transxion,random_forest,0.048532131009085,0.204110559886605,,1.0,0.247228968430711,0.129690783548483,0.240576496674057,0.482261640798226,0.5609756097560971,1.0,2,902,5920,1820462,168.71492290496826,0.203791771842659,0.9227844201646912,0.008137946654115,0.047162497361747,0.219530284301606,0.27665088267498,779,0.135946111451316,0.304236200256739,0.582798459563543,0.6700898587933241,full_matrix,
none,0.250131665923168,0.93834294076087,0.00404366675358,transxion,lightgbm,0.009046812290259,0.300907258064516,,1.0,0.357418274983535,0.194716242661448,0.360310421286031,0.677383592017738,0.721729490022172,1.0,0,902,2960,1817502,33.86076641082764,0.328021617523236,0.9488970443270892,0.00364094324514,0.008423294631424,0.312176518659765,0.380432447314851,779,0.198132780082987,0.413350449293966,0.7496790757381251,0.786906290115532,full_matrix,
none,0.25149670429793,0.930160620717656,0.004034518223809,transxion,lightgbm,0.008935302560888,0.294726217511985,,1.0,0.34986376275226,0.190787324403789,0.364745011086474,0.665188470066518,0.713968957871396,1.0,1,902,2960,1817502,36.13301086425781,0.31466764476627,0.9459399234109872,0.003616261291898,0.00830609211055,0.309766162310866,0.376117858008279,779,0.197128851540616,0.405648267008985,0.7432605905006411,0.7830551989730421,full_matrix,
none,0.252114727735728,0.940575630182428,0.004040011138113,transxion,lightgbm,0.00903572670853,0.294965848722489,,1.0,0.349837972990758,0.191084890199934,0.375831485587583,0.6640798226164081,0.70509977827051,1.0,2,902,2960,1817502,36.40517020225525,0.317216199804632,0.9489091142256992,0.003623494799934,0.008383898898255,0.306504961411245,0.371870633525053,779,0.195156195156195,0.409499358151476,0.7381258023106541,0.7830551989730421,full_matrix,
random_graph,0.264716357721648,0.938434886372231,0.003870981245321,transxion,lightgbm,0.009063097841554,0.310754912099276,,1.0,0.365908117314512,0.202629804450438,0.368070953436807,0.684035476718403,0.728381374722838,1.0,0,902,5920,1820462,37.87671041488648,0.311216638422793,0.948722131574221,0.003444678106621,0.008365312808905,0.326801152737752,0.390341842864449,779,0.210702341137123,0.413350449293966,0.7509627727856221,0.7830551989730421,full_matrix,
random_graph,0.265645536264846,0.9456518434726712,0.003903915253235,transxion,lightgbm,0.009204486641411,0.312532501300052,,1.0,0.367286219749071,0.20414402173913,0.374722838137472,0.696230598669623,0.7350332594235031,1.0,1,902,5920,1820462,40.31054902076721,0.301959564796147,0.952960378133862,0.003473294805968,0.008485149849009,0.329861111111111,0.393452547656499,779,0.212924915950691,0.388960205391527,0.7573812580231061,0.786906290115532,full_matrix,
random_graph,0.255374539870464,0.94424062220374,0.003721270027916,transxion,lightgbm,0.008484433406558,0.320447880565182,,1.0,0.373418685155683,0.21095121095121,0.361419068736141,0.6906873614190681,0.7272727272727271,1.0,2,902,5920,1820462,36.72885251045227,0.31362268760153,0.9505113789451812,0.003322411434075,0.007849124051457,0.328718703976435,0.389618647745205,779,0.213302752293577,0.400513478818998,0.7509627727856221,0.786906290115532,full_matrix,
adv_no_projection,0.25464285889924,0.94140140880103,0.004234072696905,transxion,lightgbm,0.010658593240009,0.298704473233928,,1.0,0.358667698744114,0.191596111633741,0.366962305986696,0.6829268292682921,0.7195121951219511,1.0,0,902,5920,1820462,36.05738711357117,0.317021335197541,0.9487786345694352,0.003777848489709,0.009818257183786,0.310616345370621,0.378972211690358,779,0.196969696969696,0.403080872913992,0.7496790757381251,0.7830551989730421,full_matrix,
adv_no_projection,0.251052303355353,0.9439170605208332,0.003993876522925,transxion,lightgbm,0.009615834548976,0.306826898491434,,1.0,0.362649219284714,0.199401794616151,0.364745011086474,0.6796008869179601,0.728381374722838,1.0,1,902,5920,1820462,36.47780752182007,0.298555035160224,0.952985935173527,0.003569370957113,0.008897056054942,0.320973676761958,0.385816004132096,779,0.205882352941176,0.390243902439024,0.7560975609756091,0.793324775353016,full_matrix,
