augmentation,auprc,auroc,brier,candidate_multiplier,dataset,detector,ece,f1,heldout_typology,label_fraction,mcc,precision_at_0_5,precision_at_k,recall_at_0_5pct_fpr,recall_at_1pct_fpr,rho,seed,test_positives,train_positives,train_rows,training_seconds,val_auprc,val_auroc,val_brier,val_ece,val_f1,val_mcc,val_positives,val_precision_at_0_5,val_precision_at_k,val_recall_at_0_5pct_fpr,val_recall_at_1pct_fpr,run_name,eval_subset,heldout_train_positives
typology_projected_v2,0.940940121382088,0.991326106097836,0.000236270180152,8,amlnet,xgboost,0.000262070085465,0.921348314606741,layering,1.0,0.9213984193172792,0.90358126721763,0.939828080229226,0.948424068767908,0.948424068767908,0.75,3,349,385,653543,20.5637891292572,0.90944070321704,0.9863321851031712,0.000278277128323,0.000286538674627,0.8847457627118641,0.8845946430336891,296,0.8877551020408161,0.8851351351351351,0.922297297297297,0.922297297297297,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.9469081976757272,0.994292658601172,0.000230262672165,8,amlnet,xgboost,0.000246196954905,0.920056100981767,layering,1.0,0.920129506314894,0.9010989010989012,0.936962750716332,0.959885386819484,0.968481375358166,0.75,4,349,385,653543,22.58435559272766,0.911323868129686,0.986780234223306,0.000274461206758,0.000280395578823,0.8873720136518771,0.887267042847493,296,0.896551724137931,0.881756756756756,0.932432432432432,0.932432432432432,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.9361132247745052,0.9904534527961232,0.000225614788624,8,amlnet,xgboost,0.000236275400028,0.921348314606741,layering,1.0,0.9213984193172792,0.90358126721763,0.939828080229226,0.948424068767908,0.948424068767908,0.75,5,349,385,653543,20.713661193847656,0.902226457764196,0.9829661315875612,0.000272854017406,0.000276975269189,0.8839590443686001,0.8838492998134151,296,0.8931034482758621,0.8783783783783781,0.91554054054054,0.922297297297297,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.936095132500262,0.9901042150461892,0.000249556288844,8,amlnet,xgboost,0.000270908055491,0.9174825174825172,layering,1.0,0.91760728970831,0.896174863387978,0.936962750716332,0.945558739255014,0.945558739255014,0.75,6,349,385,653543,19.80044293403625,0.905705445225468,0.9823956487708412,0.000270659805056,0.000267669378601,0.8873720136518771,0.887267042847493,296,0.896551724137931,0.8851351351351351,0.9189189189189192,0.9189189189189192,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.9449852099135452,0.994345679540625,0.000231545604179,8,amlnet,xgboost,0.00025144179045,0.92156862745098,layering,1.0,0.9216722287319152,0.901369863013698,0.936962750716332,0.954154727793696,0.95702005730659,0.75,7,349,385,653543,20.41913199424744,0.9050617468784352,0.990293844597202,0.000291591806098,0.000295044723083,0.8756388415672911,0.8755029977098151,296,0.883161512027491,0.875,0.922297297297297,0.9256756756756752,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.9509417150151892,0.995912265947344,0.000260239674538,8,amlnet,xgboost,0.000283303798803,0.909847434119278,layering,1.0,0.910162991214121,0.8817204301075261,0.936962750716332,0.95702005730659,0.962750716332378,0.75,8,349,385,653543,21.255923986434937,0.912066572863502,0.990593211478004,0.000311304060839,0.000328236157894,0.8710217755443881,0.8708755193354971,296,0.863787375415282,0.8783783783783781,0.929054054054054,0.93581081081081,cikm_v4_heldout_layering_10seed,,
typology_projected_v2,0.942406426972162,0.993028095370542,0.000231999365753,8,amlnet,xgboost,0.000251614875313,0.9187675070028012,layering,1.0,0.918865808325774,0.8986301369863011,0.931232091690544,0.948424068767908,0.948424068767908,0.75,9,349,385,653543,20.232590675354004,0.905710133965379,0.9892848900411132,0.000260797053895,0.000265082086531,0.8892674616695061,0.889150491340391,296,0.8969072164948451,0.8851351351351351,0.922297297297297,0.929054054054054,cikm_v4_heldout_layering_10seed,,
plausible_typology_projected_v2,0.9402625777780952,0.9945654327042552,0.00023789728217,8,amlnet,xgboost,0.00025436685303,0.92027972027972,layering,1.0,0.9204098800239352,0.8989071038251361,0.931232091690544,0.951289398280802,0.968481375358166,0.75,1,349,385,653543,19.95335865020752,0.9098313786166812,0.989677942953705,0.000281091651965,0.000284891360076,0.8760611205432931,0.875904813420006,296,0.8805460750853241,0.871621621621621,0.9256756756756752,0.9425675675675672,cikm_v4_heldout_layering_10seed,,
plausible_typology_projected_v2,0.936808943078497,0.9938319544312212,0.000232169492941,8,amlnet,xgboost,0.000244527908547,0.9239436619718312,layering,1.0,0.9239520346542972,0.908587257617728,0.934097421203438,0.948424068767908,0.954154727793696,0.75,2,349,385,653543,20.341915607452396,0.904658012962698,0.990300107924818,0.000273668075017,0.00026580552729,0.8865979381443291,0.8865775926964271,296,0.902097902097902,0.875,0.9256756756756752,0.9256756756756752,cikm_v4_heldout_layering_10seed,,
plausible_typology_projected_v2,0.942733736722246,0.9952835787488332,0.00023406071355,8,amlnet,xgboost,0.000250574435165,0.920056100981767,layering,1.0,0.920129506314894,0.9010989010989012,0.936962750716332,0.951289398280802,0.951289398280802,0.75,0,349,385,653543,21.121020078659058,0.909005276220825,0.989551038777929,0.000275217808987,0.000275038899226,0.8839590443686001,0.8838492998134151,296,0.8931034482758621,0.8783783783783781,0.9256756756756752,0.93581081081081,cikm_v4_heldout_layering_10seed,,
