acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
0.949206349206349,hard_projected_v2,amlnet,random_forest,13.815510557964275,0.132487097605731,945,,1.0,0.0,0.0,0.0,0.243273272601625,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,random_forest,6.806048073950986,0.372826883369212,945,,1.0,0.0,0.0,0.0,0.453042972319186,1.0,2,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,random_forest,13.815510557964275,0.120390464239304,945,,1.0,0.0,0.0,0.0,0.211382780969727,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,random_forest,13.815510557964275,0.132695894954256,945,,1.0,0.0,0.0,0.0,0.237947483171321,1.0,1,0.0,cikm_v2_main,,,,
,none,amlnet,topology_lr,,,0,,1.0,,,,,1.0,0,,cikm_v2_main,,,,
,none,amlnet,topology_lr,,,0,,1.0,,,,,1.0,1,,cikm_v2_main,,,,
,none,amlnet,topology_lr,,,0,,1.0,,,,,1.0,2,,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,random_forest,6.716795921324928,0.370518170974096,945,,1.0,0.0,0.0,0.0,0.448611197059395,1.0,2,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,topology_lr,0.024952551554927,0.01960494814343,945,,1.0,0.0,0.0,0.0,2.1114740573755,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,topology_lr,0.029600079075299,0.019103296640325,945,,1.0,0.0,0.0,0.0,2.111921036079632,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,random_feasible_v2,amlnet,topology_lr,0.023726663432939,0.017724469469817,945,,1.0,0.0,0.0,0.0,2.096871027703116,1.0,2,0.0,cikm_v2_main,,,,
0.033862433862433,adv_no_projection_v2,amlnet,topology_lr,3.071146206043837,0.054380386901133,945,,1.0,0.966137566137566,0.452014214998415,0.456133532478207,0.688535667362005,1.0,0,0.02,cikm_v2_main,,,,
0.026455026455026,adv_no_projection_v2,amlnet,topology_lr,2.798345835199497,0.052004897145954,945,,1.0,0.973544973544973,0.453187093471256,0.453944447008827,0.6611866779099721,1.0,1,0.02,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,topology_lr,9.326667185595689,0.185281987746693,945,,1.0,0.0,0.0,0.0,0.558025156699974,1.0,0,0.0,cikm_v2_main,,,,
0.04021164021164,adv_no_projection_v2,amlnet,topology_lr,2.866480736206345,0.051750931459195,945,,1.0,0.9597883597883592,0.448192950221043,0.441704197924567,0.68456404272496,1.0,2,0.02,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,topology_lr,9.43745055984036,0.199604838142574,945,,1.0,0.0,0.0,0.0,0.5834744295970741,1.0,1,0.0,cikm_v2_main,,,,
0.949206349206349,hard_projected_v2,amlnet,topology_lr,9.134751136966578,0.201334340661991,945,,1.0,0.0,0.0,0.0,0.631466564440876,1.0,2,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,topology_lr,9.27961100558771,0.183264284176076,945,,1.0,0.0,0.0,0.0,0.554929016565462,1.0,0,0.0,cikm_v2_main,,,,
0.949206349206349,boundary_projected_v2,amlnet,topology_lr,9.374476849916936,0.200735576707049,945,,1.0,0.0,0.0,0.0,0.5986551772135741,1.0,1,0.0,cikm_v2_main,,,,
