dataset,heldout_typology,seed,augmentation,generated,nn_distance_to_heldout_positive,nn_distance_to_train_positive,heldout_positive_count,train_positive_count,synthetic_log_amount_mean,synthetic_log_amount_std,synthetic_sender_tx_count_mean,synthetic_receiver_tx_count_mean,synthetic_pair_tx_count_mean,synthetic_sender_total_out_mean,synthetic_receiver_total_in_mean,synthetic_pair_total_amount_mean,heldout_positive_log_amount_mean,heldout_positive_log_amount_std,heldout_positive_sender_tx_count_mean,heldout_positive_receiver_tx_count_mean,heldout_positive_pair_tx_count_mean,heldout_positive_sender_total_out_mean,heldout_positive_receiver_total_in_mean,heldout_positive_pair_total_amount_mean,train_positive_log_amount_mean,train_positive_log_amount_std,train_positive_sender_tx_count_mean,train_positive_receiver_tx_count_mean,train_positive_pair_tx_count_mean,train_positive_sender_total_out_mean,train_positive_receiver_total_in_mean,train_positive_pair_total_amount_mean,detector_hardness,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,edit_distance,categorical_fractionality_rate,negative_feature_rate,temporal_violation_rate,acceptance_rate
amlnet,structuring,0,plausible_hard_projected_v2,568,0.8320588150624282,0.3398782891586141,133,757,5.816771962466339,0.44888943380709134,37.3395881652832,24.68405532836914,2.595043182373047,38135.1640625,5829.70166015625,1286.9388427734375,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,6.2535774656148995,0.0,0.0,0.0,0.44864563673335844,0.1544254716277164,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,0,curriculum_projected_v2,568,1.2401747521272108,0.5123806610485289,133,757,6.589609364576197,1.0131456235213734,35.0927848815918,23.123743057250977,3.0202438831329346,42388.83203125,8617.5947265625,3329.16064453125,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,3.8529521762643255,0.0,0.0,0.0,0.6624795957819796,0.24357620670512237,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,0,typology_projected_v2,568,0.8541073636467165,0.38563883273381366,133,757,5.641313852581005,0.760677029544143,40.684452056884766,29.638402938842773,4.997846603393555,40779.9140625,11154.986328125,1243.0728759765625,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,7.909158843133233,0.0,0.0,0.0,0.6519988999887179,0.23623842062870012,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,0,plausible_typology_projected_v2,568,0.856804248769022,0.3581679650405511,133,757,5.815314762843256,0.44648491436807647,39.93674850463867,26.99555778503418,4.652724266052246,41061.46875,6006.2255859375,1436.316650390625,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674132,33.623512268066406,24.56538963317871,1.9233818054199219,63417.03515625,14300.8623046875,3864.980224609375,6.536542508109779,0.0,0.0,0.0,0.4482874783035443,0.20015582605746735,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,random_feasible_v2,568,2.579693048352976,0.2989871301644959,133,757,8.419813428155043,1.5301887668878291,32.50352096557617,24.149648666381836,1.9119718074798584,63159.16796875,16382.712890625,3733.1650390625,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,0.05821303466071314,0.0,0.0,0.0,1.841211921606296,0.017477834787214475,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,hard_projected_v2,568,0.8025305390069724,0.3480636822428268,133,757,5.6378271906277355,0.7531725247591642,37.579505920410156,27.3021297454834,3.0221188068389893,34710.80859375,9201.3427734375,1106.5284423828125,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,8.544639777507001,0.0,0.0,0.0,0.6045273732463549,0.17683369906767848,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,plausible_hard_projected_v2,568,0.8179242914412608,0.3235521169149949,133,757,5.7868556984536434,0.4819680666117755,36.357666015625,24.671493530273438,2.6768593788146973,35580.36328125,5641.76416015625,1134.3878173828125,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,7.384750145353913,0.0,0.0,0.0,0.42829723774908474,0.14806923444252398,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,curriculum_projected_v2,568,1.1901990084535676,0.4809881456923368,133,757,6.546458000203572,1.0313925772711208,35.854278564453125,26.320457458496094,2.9791259765625,47007.4296875,10914.6025390625,3868.58984375,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,3.9693451348718143,0.0,0.0,0.0,0.6458483817761176,0.25520920947579795,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,typology_projected_v2,568,0.8192182962063392,0.3696151630463249,133,757,5.650946366610284,0.7465502297962625,39.00775909423828,29.182390213012695,4.978189945220947,36812.39453125,9929.34375,1161.6856689453125,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,8.551927200712242,0.0,0.0,0.0,0.6012814966188853,0.22234503975089706,0.0,0.0,0.0,0.948943661971831
amlnet,structuring,1,plausible_typology_projected_v2,568,0.8328318263105201,0.3407271614912387,133,757,5.798949009205015,0.4862997870798232,38.30400466918945,26.571531295776367,4.663423538208008,38257.9921875,6187.4658203125,1310.2491455078125,8.582168950471702,0.9320084014914173,97.91728973388672,66.42857360839844,5.796992301940918,75184.6875,12422.1630859375,1570.43896484375,8.293175936317432,1.5374911855674134,33.623512268066406,24.56538963317871,1.9233818054199219,63417.0390625,14300.8642578125,3864.980224609375,7.320545655367421,0.0,0.0,0.0,0.42204388595099157,0.18917031101673498,0.0,0.0,0.0,0.948943661971831
